id,type,term,sense,translation,example_de,example_en,levels,part_of_speech,native_frequency_rating,native_frequency_label,native_frequency_notes,rated_by,rated_at,corpus_rank,register,regional_labels,contexts,tags,gender,plural,genitive_singular,is_reflexive,is_separable,auxiliary,present_er_sie_es,praeteritum,partizip_ii,valency,collocations,synonyms,antonyms,false_friends,word_family,mnemonic_hint,approved_by_native,connector_function,verb_position_effect,highlighted_example,noun_article_rule,source_name,source_url,review_status
1,konjunktion,aber,signals contrast or qualification,but / however,"Ich bin müde, aber ich arbeite noch weiter.","I am tired, but I continue working.",A1,connector,5,essential,,,,,,,,,,,,,,,,,,,,,,,,,,adversative,position_0_normal,"Ich bin müde, aber ich **arbeite** noch weiter.",,Manual Konjunktionen Guide,,verified
2,konjunktion,denn,signals reason or explanation,because / for,"Er kommt heute nicht, denn er ist krank.",He is not coming today because he is sick.,A1,connector,5,essential,,,,,,,,,,,,,,,,,,,,,,,,,,causal,position_0_normal,"Er kommt heute nicht, denn er **ist** krank.",,Manual Konjunktionen Guide,,verified
3,konjunktion,und,signals addition or combination,and,Wir gehen ins Restaurant und wir essen Pizza.,We go to the restaurant and we eat pizza.,A1,connector,5,essential,,,,,,,,,,,,,,,,,,,,,,,,,,additive,position_0_normal,Wir gehen ins Restaurant und wir **essen** Pizza.,,Manual Konjunktionen Guide,,verified
4,konjunktion,sondern,signals correction after negative,but rather / but instead,"Ich fliege nicht nach Paris, sondern ich bleibe in Berlin.","I am not flying to Paris, but rather staying in Berlin.",A2,connector,5,essential,,,,,,,,,,,,,,,,,,,,,,,,,,adversative,position_0_normal,"Ich fliege nicht nach Paris, sondern ich **bleibe** in Berlin.",,Manual Konjunktionen Guide,,verified
5,konjunktion,oder,signals choice or alternative,or,Möchtest du Saft oder trinkst du lieber Wasser?,Would you like juice or do you prefer drinking water?,A1,connector,5,essential,,,,,,,,,,,,,,,,,,,,,,,,,,alternative,position_0_normal,Möchtest du Saft oder **trinkst** du lieber Wasser?,,Manual Konjunktionen Guide,,verified
6,konjunktion,weil,introduces causal clause,because,"Ich bleibe im Bett, weil ich mich unwohl fühle.",I stay in bed because I feel unwell.,A2,connector,5,essential,,,,,,,,,,,,,,,,,,,,,,,,,,causal,subordinate_verb_end,"Ich bleibe im Bett, weil ich mich unwohl **fühle**.",,Manual Konjunktionen Guide,,verified
7,konjunktion,da,introduces formal cause or known fact,since / because,"Da das Büro geschlossen ist, arbeite ich von zu Hause.","Since the office is closed, I work from home.",B1,connector,4,very_common,,,,,,,,,,,,,,,,,,,,,,,,,,causal,subordinate_verb_end,"Da das Büro geschlossen **ist**, arbeite ich von zu Hause.",,Manual Konjunktionen Guide,,verified
8,konjunktion,wenn,introduces condition or present/future time,if / when,"Wir gehen spazieren, wenn die Sonne scheint.",We go for a walk when the sun shines.,A1,connector,5,essential,,,,,,,,,,,,,,,,,,,,,,,,,,conditional,subordinate_verb_end,"Wir gehen spazieren, wenn die Sonne **scheint**.",,Manual Konjunktionen Guide,,verified
9,konjunktion,falls,introduces hypothetical condition,in case / if,"Ruf mich an, falls es ein Problem gibt.",Call me in case there is a problem.,B1,connector,4,very_common,,,,,,,,,,,,,,,,,,,,,,,,,,conditional,subordinate_verb_end,"Ruf mich an, falls es ein Problem **gibt**.",,Manual Konjunktionen Guide,,verified
10,konjunktion,obwohl,introduces concessive clause,although / even though,"Sie geht ohne Jacke raus, obwohl es sehr kalt ist.",She goes outside without a jacket although it is very cold.,B1,connector,5,essential,,,,,,,,,,,,,,,,,,,,,,,,,,concessive,subordinate_verb_end,"Sie geht ohne Jacke raus, obwohl es sehr kalt **ist**.",,Manual Konjunktionen Guide,,verified
