Neue Wörter,New words,"Example sentence here","Translation here"
Da liegt der Hund begraben,that's the heart of the matter (idiom),"I think that's the heart of the matter.","Ich glaube, da liegt der Hund begraben."
Die Daumen drücken,to keep fingers crossed (idiom),"I'll keep my fingers crossed for your exam.","Ich drücke dir für die Prüfung die Daumen."
Um den heißen Brei herumreden,to beat around the bush (idiom),"Stop beating around the bush and tell me the truth.","Hör auf, um den heißen Brei herumzureden, und sag mir die Wahrheit."
Ein Auge zudrücken,to turn a blind eye (idiom),"I'll turn a blind eye this time, but don't do it again.","Ich drücke dieses Mal noch ein Auge zu, aber mach das nicht nochmal."
Schwein haben,to have a stroke of luck (idiom),"You really had a stroke of luck with that test.","Du hast bei dem Test wirklich Schwein gehabt."
Tomaten auf den Augen haben,to be blind to something obvious (idiom),"Can't you see the keys right there? You must be blind!","Siehst du die Schlüssel dort nicht? Du musst Tomaten auf den Augen haben!"
Die Kirche im Dorf lassen,to not get carried away (idiom),"We shouldn't get carried away and just wait.","Wir sollten die Kirche im Dorf lassen und einfach abwarten."
Ins Fettnäpfchen treten,to put your foot in your mouth (idiom),"I really put my foot in my mouth with that comment.","Mit diesem Kommentar bin ich echt ins Fettnäpfchen getreten."
Nur Bahnhof verstehen,to not understand a thing (idiom),"He explained it, but I didn't understand a thing.","Er hat es erklärt, aber ich habe nur Bahnhof verstanden."
Zwei Fliegen mit einer Klappe schlagen,to kill two birds with one stone (idiom),"If we go now, we can kill two birds with one stone.","Wenn wir jetzt gehen, können wir zwei Fliegen mit einer Klappe schlagen."
Das Haar in der Suppe suchen,to look for the negative in something (idiom),"You are always looking for the negative!","Du suchst immer das Haar in der Suppe!"
Die Katze im Sack kaufen,to buy a pig in a poke (idiom),"I would never buy a used car without checking it; I won't buy a pig in a poke.","Ich würde nie ein gebrauchtes Auto ungeprüft kaufen; ich kaufe nicht die Katze im Sack."
Jemandem auf den Keks gehen,to get on someone's nerves (idiom),"His constant talking is getting on my nerves.","Sein ständiges Gerede geht mir auf den Keks."
Einen Kater haben,to have a hangover (idiom),"I drank too much yesterday and now I have a hangover.","Ich habe gestern zu viel getrunken und jetzt habe ich einen Kater."
Bock haben,to be up for something (idiom),"Are you up for going to the cinema tonight?","Hast du Bock, heute Abend ins Kino zu gehen?"
Sich zum Affen machen,to make a fool of oneself (idiom),"I completely made a fool of myself at the party.","Ich habe mich auf der Party komplett zum Affen gemacht."
Die Ohren steif halten,to keep a stiff upper lip (idiom),"Keep a stiff upper lip, things will get better.","Halt die Ohren steif, es wird wieder besser."
