id,type,term,sense,translation,example_de,example_en,levels,part_of_speech,native_frequency_rating,native_frequency_label,native_frequency_notes,rated_by,rated_at,corpus_rank,register,regional_labels,contexts,tags,gender,plural,genitive_singular,is_reflexive,is_separable,auxiliary,present_er_sie_es,praeteritum,partizip_ii,valency,collocations,synonyms,antonyms,false_friends,source_name,source_url,review_status
1,word,abbiegen,change direction while driving/walking,to turn (left/right),An der nächsten Kreuzung müssen Sie links abbiegen.,At the next intersection you have to turn left.,B1,verb,3,medium,Frequently used for giving directions,,,,standard,,,"traffic;directions",,,,,false,true,sein,biegt ab,bog ab,abgebogen,intr,"links abbiegen; rechts abbiegen",einbiegen,,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
2,word,Abbildung,picture or illustration in text,illustration / figure / picture,"Auf der Abbildung sehen Sie, wie man das Gerät einschaltet.",In the illustration you can see how to switch on the device.,B1,noun,2,medium-low,Common in instructions and textbooks,,,,standard,,,"media;manual",feminine,-en,Abbildung,false,false,,,,,,"Illustration; Bild",,,,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
3,word,Abenteuer,exciting or unusual experience,adventure,Unser Urlaub war ein tolles Abenteuer. / Die Kinder lieben Abenteuergeschichten.,Our vacation was a great adventure. / The children love adventure stories.,B1,noun,3,medium,,,,,standard,,,"leisure;narrative",neuter,-,Abenteuers,false,false,,,,,,Erlebnis,,,,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
4,word,Abfall,refuse / trash,waste / garbage,Werfen Sie den Bioabfall bitte nicht zum normalen Müll.,Please do not throw organic waste into normal trash.,B1,noun,3,medium,Pertains to recycling/environment,,,,standard,,,"environment;waste",masculine,Abfälle,Abfalls,false,false,,,,,,"Müll; Unrat",,,,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
5,word,Abfalleimer,container for waste,waste bin / trash can,Wirf das bitte in den Abfalleimer!,Please throw that into the trash can!,B1,noun,3,medium,,,,,standard,,,"household;waste",masculine,-,Abfalleimers,false,false,,,,,,"Mülleimer; Papierkorb",,,,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
6,word,Abgase,exhaust fumes from engines/industry,exhaust fumes / exhaust gases,Abgase aus Industrie und Haushalten verschmutzen die Luft.,Exhaust fumes from industry and households pollute the air.,B1,noun,3,medium,Mainly used in the plural,,,,standard,,,"environment;traffic",feminine,Abgase,Abgase,false,false,,,,,,Emissionen,,,,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
7,word,abhängen,be conditional upon,to depend on (von),"Vielleicht bleiben wir ein paar Tage länger; das hängt vom Wetter ab.","Maybe we stay a few days longer; that depends on the weather.",B1,verb,4,high,,,,,standard,,,reasoning,,,,,false,true,haben,hängt ab,hing ab,abgehangen,von + dat,abhängen von,anrechnen,,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
8,word,abhängig,contingent or reliant on,dependent,Gregor ist finanziell von seinen Eltern abhängig.,Gregor is financially dependent on his parents.,B1,adjective,3,medium,,,,,standard,,,"finances;family",adjective,,,,false,false,,,,von + dat,abhängig sein von,unselbstständig,unabhängig,,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
9,word,abheben,withdraw money from account,to withdraw (money),Für die Reise habe ich 500 Euro von meinem Konto abgehoben.,For the trip I withdrew 500 euros from my account.,B1,verb,3,medium,Banking/money context,,,,standard,,,"banking;money",,,,,false,true,haben,hebt ab,hob ab,abgehoben,"acc, von + dat",Geld abheben,auszahlen lassen,einzahlen,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
10,word,abschreiben,copy text from someone/something,to copy / to plagiarize,Er hat die Hausaufgaben von mir abgeschrieben.,He copied the homework from me.,B1,verb,3,medium,Common in school and education,,,,standard,,,"education;school",,,,,false,true,haben,schreibt ab,schrieb ab,abgeschrieben,"acc, von + dat",Hausaufgaben abschreiben,"kopieren; abkupfern",,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
11,word,ablehnen,refuse to accept or agree,to reject / to turn down,"Er hat mein Angebot; ihm zu helfen; abgelehnt.",He declined my offer to help him.,B1,verb,3,medium,,,,,standard,,,communication,,,,,false,true,haben,lehnt ab,lehnte ab,abgelehnt,acc,ein Angebot ablehnen,zurückweisen,annehmen,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
12,word,abmachen,agree on an arrangement,to arrange / to agree upon,"Wir hatten doch abgemacht, dass du die Getränke besorgst.",We had agreed that you would get the drinks.,B1,verb,3,medium,,,,,standard,,,"arrangements;meetings",,,,,false,true,haben,macht ab,machte ab,abgemacht,"acc, dass-clause",etwas abmachen,"vereinbaren; verabreden",,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
13,word,abnehmen,"remove; lose weight","to take off; to lose weight",Morgen können wir den Verband abnehmen. / Ich habe zehn Kilo abgenommen.,Tomorrow we can take off the bandage. / I have lost ten kilos.,B1,verb,4,high,,,,,standard,,,"health;daily life",,,,,false,true,haben,nimmt ab,nahm ab,abgenommen,acc / intr,Gewicht abnehmen,"verringern; reduzieren",zunehmen,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
14,word,abonnieren,subscribe to a publication/service,to subscribe to,Diese Zeitschrift würde ich gerne abonnieren.,I would like to subscribe to this magazine.,B1,verb,2,medium-low,,,,,standard,,,"media;reading",,,,,false,false,haben,abonniert,abonnierte,abonniert,acc,eine Zeitschrift abonnieren,beziehen,kündigen,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
15,word,Abonnement,subscription contract,subscription,Ich habe das Abonnement gekündigt.,I canceled the subscription.,B1,noun,2,medium-low,Often abbreviated as 'das Abo',,,,standard,,,"media;finance",neuter,-s / -e,Abonnements,false,false,,,,,,Abo,,,,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
16,word,absagen,cancel an event or appointment,to cancel / to call off,"Ich muss unser Treffen leider absagen, weil ich krank geworden bin.",I unfortunately have to cancel our meeting because I have fallen ill.,B1,verb,3,medium,,,,,standard,,,"appointments;work",,,,,false,true,haben,sagt ab,sagte ab,abgesagt,acc / dat,einen Termin absagen,stornieren,zusagen,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
17,word,Abschluss,graduation / conclusion / deal,qualification / degree / conclusion,Ein guter Schulabschluss ist sehr wichtig.,A good school-leaving certificate is very important.,B1,noun,3,medium,,,,,standard,,,"education;career",masculine,Abschlüsse,Abschlusses,false,false,,,,,,"Absolvierung; Ende",Beginn,,,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
18,word,Abschnitt,passage / paragraph / section of text,section / paragraph,Lesen Sie bitte den zweiten Abschnitt.,Please read the second section.,B1,noun,3,medium,,,,,standard,,,"reading;exams",masculine,-e,Abschnitts,false,false,,,,,,"Teil; Absatz",,,,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
19,word,Absenderin,female sender,sender (female),Schicken Sie das Paket an die Absenderin zurück.,Return the parcel to the (female) sender.,B1,noun,2,medium,,,,,standard,,,"postal;correspondence",feminine,-nen,Absenderin,false,false,,,,,,Versenderin,Empfängerin,,,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
20,word,Absicht,aim / deliberate intent,intention / purpose,"Entschuldigen Sie bitte, meine Tochter hat das nicht mit Absicht gemacht. / Hast du die Absicht zu studieren?","Please excuse me; my daughter did not do that intentionally. / Do you intend to study?",B1,noun,3,medium,,,,,standard,,,"intent;planning",feminine,-en,Absicht,false,false,,,,,,"Plan; Vorhaben",,,,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
21,word,absolut,complete / utter / without doubt,absolute / completely,"Was Sie da sagen, ist absolut falsch. / Ich habe absolutes Vertrauen zu dir.",What you are saying there is absolutely false. / I have absolute trust in you.,B1,adverb,4,high,,,,,standard,,,emphasis,adverb,,,,false,false,,,,,,"völlig; gänzlich",relativ,,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
22,word,abstimmen,cast a ballot or decide by vote,to vote,Lasst uns über diesen Punkt abstimmen.,Let us vote on this point.,B1,verb,3,medium,,,,,standard,,,"politics;decision",,,,,false,true,haben,stimmt ab,stimmte ab,abgestimmt,über + acc,über einen Vorschlag abstimmen,"wählen; votieren",,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
23,word,Abteilung,division in a firm or store,department,Meine Freundin arbeitet in der Abteilung von Frau Kaufmann.,My girlfriend works in Ms. Kaufmann's department.,B1,noun,4,high,,,,,standard,,,"work;business",feminine,-en,Abteilung,false,false,,,,,,"Sektion; Bereich",,,,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
24,word,Abwart,caretaker / janitor (Swiss German),caretaker / janitor,"Der Abwart hat mir geholfen; den Schrank in die Wohnung zu tragen.",The janitor helped me carry the wardrobe into the apartment.,B1,noun,2,low,,CH,,standard,"CH-specific; D/A=Hausmeister","housing;jobs",masculine,-e,Abwarts,false,false,,,,,,Hausmeister,,,,,,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
25,word,Abwartin,female caretaker / janitor (Swiss German),caretaker / janitor (female),Die Abwartin hat mir den Schlüssel gegeben.,The caretaker gave me the key.,B1,noun,1,low,,CH,,standard,"CH-specific; D/A=Hausmeisterin","housing;jobs",feminine,-nen,Abwartin,false,false,,,,,,Hausmeisterin,,,,,,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
26,word,abwärts,in a downward direction,downward / downwards,Von dort führt der Weg abwärts ins Tal.,From there the path leads down into the valley.,B1,adverb,2,medium-low,,,,,standard,,,"directions;spatial",adverb,,,,false,false,,,,,,"hinunter; bergab",aufwärts,,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
27,word,abwaschen,wash dishes or clean with water,to wash up / to do dishes,Ich muss noch das Geschirr abwaschen.,I still have to wash the dishes.,B1,verb,3,medium,,,,,standard,,,"household;kitchen",,,,,false,true,haben,wäscht ab,wusch ab,abgewaschen,acc,Geschirr abwaschen,"spülen; reinigen",,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
28,word,abwesend,not present,absent,Herr Huber ist bis zum 25. April abwesend.,Mr. Huber is absent until April 25th.,B1,adjective,2,medium,,,,,standard,,,"office;formal",adjective,,,,false,false,,,,,,"nicht da; fort",anwesend,,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
29,word,achten,pay attention / monitor,to pay attention / to watch out (auf),"Achten Sie bitte darauf; dass Sie abschließen; wenn Sie gehen.",Please make sure that you lock up when you leave.,B1,verb,4,high,,,,,standard,,,instructions,,,,,false,false,haben,achtet,achtete,geachtet,auf + acc,aufpassen auf,beachten,,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
30,word,Anbieter,supplier of goods or services,provider / supplier,Ist das ein privater Telefonanbieter?,Is that a private telephone provider?,B1,noun,3,medium,Frequently used in commercial contexts,,,,standard,,,"telecom;business",masculine,-,Anbieters,false,false,,,,,,"Dienstleister; Provider","Kunde; Nachfrager",,,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
31,word,andererseits,from another viewpoint,on the other hand,"Tarek möchte zwar studieren; aber andererseits möchte er auch gleich Geld verdienen.","Tarek would like to study; but on the other hand he also wants to earn money right away.",B1,adverb,3,medium,,,,,standard,,,"discourse;reasoning",adverb,,,,false,false,,,,einerseits ... andererseits,"hingegen; dagegen",einerseits,,,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
32,word,Änderung,alteration or revision,change / modification,Es gibt eine Programmänderung.,There is a program change.,B1,noun,3,medium,,,,,standard,,,organization,feminine,-en,Änderung,false,false,,,,,,"Modifikation; Wechsel",,,,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
33,word,anerkennen,officially validate or credit,to recognize / to accept (credentials),Meine Ausbildung wird hier nicht anerkannt.,My vocational training is not recognized here.,B1,verb,3,medium,Important for immigration and job contexts,,,,standard,,,"administration;jobs",,,,,false,true,haben,erkennt an,erkannte an,anerkannt,acc,einen Abschluss anerkennen,"bestätigen; beglaubigen",aberkennen,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
